iter	Passed	Remaining
1048	162222	69744
1049	162370	69587
1050	162510	69426
1051	162647	69264
1052	162779	69100
1053	162938	68947
1054	163152	68818
1055	163268	68647
1056	163415	68489
1057	163571	68335
1058	163735	68184
1059	163912	68039
1060	164064	67883
1061	164253	67742
1062	164422	67594
1063	164586	67443
1064	164744	67290
1065	164911	67140
1066	165075	66989
1067	165277	66853
1068	165483	66719
1069	165659	66573
1070	165827	66424
1071	166014	66281
1072	166189	66134
1073	166394	66000
1074	166585	65859
1075	166742	65705
1076	166929	65562
1077	167103	65415
1078	167270	65264
1079	167461	65123
1080	167605	64964
1081	167758	64808
1082	167916	64655
1083	168094	64508
1084	168286	64367
1085	168416	64203
1086	168620	64066
1087	168798	63919
1088	168964	63768
1089	169093	63603
1090	169251	63449
1091	169403	63293
1092	169622	63162
1093	169771	63004
1094	169949	62858
1095	170112	62705
1096	170294	62560
1097	170476	62414
1098	170658	62269
1099	170817	62115
1100	170984	61964
1101	171135	61807
1102	171297	61654
1103	171453	61499
1104	171722	61385
1105	171894	61235
1106	172056	61082
1107	172179	60915
1108	172297	60746
1109	172482	60601
1110	172668	60457
1111	172873	60319
1112	173016	60159
1113	173205	60015
1114	173368	59862
1115	173525	59707
1116	173700	59559
1117	173856	59403
1118	174016	59249
1119	174172	59094
1120	174353	58947
1121	174528	58798
1122	174695	58646
1123	174856	58492
1124	175052	58350
1125	175221	58199
1126	175385	58046
1127	175551	57894
1128	175715	57741
1129	175859	57582
1130	176035	57433
1131	176207	57282
1132	176360	57126
1133	176502	56966
1134	176645	56806
1135	176791	56647
1136	176945	56491
1137	177091	56333
1138	177286	56189
1139	177471	56043
1140	177639	55891
1141	177794	55736
1142	177956	55582
1143	178106	55424
1144	178329	55289
1145	178483	55133
1146	178665	54986
1147	178832	54833
1148	179000	54681
1149	179144	54522
1150	179331	54375
1151	179530	54233
1152	179693	54079
1153	179815	53913
1154	179928	53744
1155	180070	53585
1156	180221	53427
1157	180407	53280
1158	180610	53139
1159	180782	52988
1160	180962	52839
1161	181113	52681
1162	181301	52535
1163	181517	52396
1164	181713	52252
1165	181907	52107
1166	182090	51959
1167	182234	51799
1168	182445	51659
1169	182678	51524
1170	182868	51378
1171	183046	51228
1172	183224	51078
1173	183383	50922
1174	183567	50774
1175	183790	50636
1176	183956	50482
1177	184098	50322
1178	184249	50164
1179	184398	50006
1180	184562	49852
1181	184718	49695
1182	184899	49546
1183	185053	49389
1184	185224	49236
1185	185379	49080
1186	185538	48924
1187	185716	48774
1188	185935	48634
1189	186111	48482
1190	186309	48337
1191	186501	48190
1192	186632	48027
1193	186879	47893
1194	187094	47752
1195	187283	47603
1196	187423	47443
1197	187609	47293
1198	187779	47140
1199	187948	46987
1200	188175	46847
1201	188344	46694
1202	188528	46544
1203	188682	46387
1204	188828	46227
1205	189006	46076
1206	189195	45927
1207	189364	45773
1208	189542	45621
1209	189720	45470
1210	189856	45308
1211	190010	45151
1212	190128	44985
1213	190335	44840
1214	190491	44683
1215	190655	44528
1216	190795	44367
1217	190959	44212
1218	191124	44057
1219	191269	43898
1220	191470	43751
1221	191611	43590
1222	191743	43428
1223	191855	43261
1224	191995	43100
1225	192142	42942
1226	192295	42784
1227	192480	42634
1228	192651	42480
1229	192822	42326
1230	192997	42174
1231	193181	42023
1232	193333	41865
1233	193532	41717
1234	193709	41565
1235	193861	41407
1236	194027	41252
1237	194204	41099
1238	194371	40945
1239	194510	40784
1240	194704	40635
1241	194851	40476
1242	195019	40321
1243	195182	40166
1244	195361	40013
1245	195513	39855
1246	195725	39710
1247	195794	39535
1248	195946	39377
1249	196116	39223
1250	196271	39065
1251	196424	38908
1252	196572	38749
1253	196742	38595
1254	196973	38452
1255	197111	38292
1256	197240	38129
1257	197393	37972
1258	197576	37820
1259	197767	37670
1260	198053	37537
1261	198280	37393
1262	198487	37245
1263	198683	37095
1264	198876	36945
1265	199105	36801
1266	199302	36651
1267	199496	36500
1268	199662	36345
1269	199804	36185
1270	199938	36023
1271	200187	35882
1272	200396	35734
1273	200575	35580
1274	200782	35432
1275	200941	35274
1276	201168	35129
1277	201408	34986
1278	201598	34834
1279	201795	34683
1280	201971	34529
1281	202141	34373
1282	202330	34221
1283	202517	34068
1284	202651	33906
1285	202809	33749
1286	202945	33587
1287	203128	33434
1288	203302	33279
1289	203500	33127
1290	203646	32968
1291	203785	32807
1292	203943	32649
1293	204108	32493
1294	204250	32333
1295	204428	32178
1296	204624	32026
1297	204768	31866
1298	204922	31708
1299	205079	31550
1300	205237	31393
1301	205402	31236
1302	205604	31085
1303	205799	30932
1304	205965	30776
1305	206122	30618
1306	206274	30459
1307	206425	30300
1308	206588	30143
1309	206757	29987
1310	206914	29829
1311	207084	29673
1312	207237	29515
1313	207394	29357
1314	207554	29199
1315	207757	29048
1316	207945	28894
1317	208108	28737
1318	208245	28576
1319	208394	28417
1320	208563	28261
1321	208713	28102
1322	208895	27947
1323	209065	27791
1324	209200	27630
1325	209354	27471
1326	209495	27311
1327	209667	27155
1328	209817	26996
1329	210023	26845
1330	210194	26688
1331	210361	26532
1332	210494	26371
1333	210638	26211
1334	210798	26053
1335	210938	25893
1336	211134	25740
1337	211290	25582
1338	211459	25425
1339	211644	25271
1340	211809	25113
1341	212002	24960
1342	212203	24807
1343	212376	24650
1344	212542	24493
1345	212716	24337
1346	212867	24178
1347	213036	24021
1348	213221	23866
1349	213442	23715
1350	213594	23557
1351	213777	23401
1352	213962	23246
1353	214114	23087
1354	214259	22928
1355	214474	22776
1356	214626	22617
1357	214744	22454
1358	214931	22299
1359	215094	22142
